date,description,amount,category
2023-01-01,Grocery shopping,60.00,food
2023-01-02,Taxi ride,25.00,transport
2023-01-03,Online luxury watch purchase,3200.00,shopping
2023-01-04,Coffee shop latte,6.00,food
2023-01-05,Premium gaming laptop purchase,4200.00,shopping
2023-01-06,Bus ticket,3.00,transport
2023-01-07,Supermarket groceries,75.00,food
2023-01-08,Electricity bill,90.00,utilities
2023-01-09,Concert VIP tickets,850.00,entertainment
2023-01-10,Hospital treatment,950.00,health
2023-01-11,Sports bike down payment,5500.00,transport
2023-01-12,Restaurant dinner,140.00,food
2023-01-13,Designer clothing purchase,2600.00,shopping
2023-01-14,Water bill,35.00,utilities
2023-01-15,Luxury cinema recliner tickets,420.00,entertainment
2023-01-16,Imported grocery items,210.00,food
2023-01-17,Taxi ride airport,190.00,transport
2023-01-18,Premium perfume purchase,1800.00,shopping
2023-01-19,Private gym membership,650.00,health
2023-01-20,Restaurant dinner party,480.00,food
2023-01-21,Car engine repair,2100.00,transport
2023-01-22,Home electronics purchase,1700.00,shopping
2023-01-23,OTT annual subscription bundle,550.00,entertainment
2023-01-24,Medical emergency expense,1200.00,health
2023-01-25,Grocery purchase,95.00,food
2023-01-26,Petrol refill,110.00,transport
2023-01-27,Restaurant dinner,220.00,food
2023-01-28,Latest smartphone purchase,3900.00,shopping
2023-01-29,Cafe pastry,12.00,food
2023-01-30,Train ticket,40.00,transport
2023-01-31,Mobile recharge,60.00,utilities
2023-02-01,Supermarket groceries,90.00,food
2023-02-02,Ola ride,70.00,transport
2023-02-03,Designer handbag purchase,2800.00,shopping
2023-02-04,Bakery breakfast,30.00,food
2023-02-05,Premium headphones purchase,1200.00,shopping
2023-02-06,Bus ticket,10.00,transport
2023-02-07,Electricity bill,95.00,utilities
2023-02-08,Online gaming PC upgrade,2500.00,shopping
2023-02-09,Movie VIP tickets,450.00,entertainment
2023-02-10,Private clinic visit,320.00,health
2023-02-11,Petrol refill,120.00,transport
2023-02-12,Restaurant dinner,240.00,food
2023-02-13,Gold jewelry purchase,4800.00,shopping
2023-02-14,Valentine luxury dinner,900.00,food
2023-02-15,Water bill,40.00,utilities
2023-02-16,Concert tickets,750.00,entertainment
2023-02-17,Gym membership premium,550.00,health
2023-02-18,Taxi ride airport,210.00,transport
2023-02-19,Premium sneaker purchase,2200.00,shopping
2023-02-20,Daily vegetables,80.00,food
2023-02-21,Broadband bill,999.00,utilities
2023-02-22,Restaurant snacks,150.00,food
2023-02-23,Medical test package,600.00,health
2023-02-24,Luxury sunglasses purchase,1400.00,shopping
2023-02-25,Petrol refill,130.00,transport
2023-02-26,Netflix subscription,199.00,entertainment
2023-02-27,Grocery store purchase,105.00,food
2023-02-28,Auto ride,45.00,transport
