date,description,amount,category
2025-01-01,Petrol refill,154.01,transport
2025-01-01,Electricity bill,888.19,utilities
2025-01-01,Milk and bread,205.16,food
2025-01-01,Petrol refill,121.64,transport
2025-01-02,Local food store,216.22,food
2025-01-02,Local food store,203.66,food
2025-01-02,Milk and bread,221.4,food
2025-01-02,Milk and bread,227.53,food
2025-01-03,Bus pass,125.99,transport
2025-01-03,Electricity bill,900.1,utilities
2025-01-03,Grocery shopping,229.37,food
2025-01-03,Grocery shopping,219.61,food
2025-01-04,Grocery shopping,237.19,food
2025-01-04,Metro ticket,112.76,transport
2025-01-04,Vegetables market,208.55,food
2025-01-04,Grocery shopping,234.23,food
2025-01-05,Grocery shopping,242.15,food
2025-01-05,Petrol refill,116.69,transport
2025-01-05,Mobile recharge,868.73,utilities
2025-01-05,Water bill,904.08,utilities
2025-01-05,Local food store,229.93,food
2025-01-05,Metro ticket,133.92,transport
2025-01-05,Mobile recharge,925.1,utilities
2025-01-05,Bus pass,128.48,transport
2025-01-06,Water bill,894.65,utilities
2025-01-06,Metro ticket,128.89,transport
2025-01-06,Auto fare,99.13,transport
2025-01-06,Auto fare,128.44,transport
2025-01-07,Vegetables market,210.77,food
2025-01-07,Vegetables market,201.99,food
2025-01-07,Petrol refill,91.12,transport
2025-01-07,Water bill,875.22,utilities
2025-01-07,Local food store,227.44,food
2025-01-08,Milk and bread,199.2,food
2025-01-08,Electricity bill,890.83,utilities
2025-01-08,Mobile recharge,916.21,utilities
2025-01-08,Petrol refill,104.34,transport
2025-01-08,Petrol refill,117.52,transport
2025-01-09,Metro ticket,129.86,transport
2025-01-09,Internet bill,874.86,utilities
2025-01-09,Vegetables market,208.38,food
2025-01-09,Auto fare,129.2,transport
2025-01-09,Metro ticket,150.2,transport
2025-01-09,Metro ticket,114.03,transport
2025-01-09,Water bill,915.58,utilities
2025-01-10,Mobile recharge,908.26,utilities
2025-01-10,Water bill,905.43,utilities
2025-01-10,Auto fare,104.98,transport
2025-01-10,Petrol refill,88.1,transport
2025-01-10,Local food store,259.94,food
2025-01-10,Water bill,904.38,utilities
2025-01-11,Auto fare,102.45,transport
2025-01-12,Internet bill,899.63,utilities
2025-01-12,Vegetables market,205.46,food
2025-01-12,Electricity bill,936.32,utilities
2025-01-12,Grocery shopping,223.88,food
2025-01-12,Milk and bread,215.89,food
2025-01-12,Electricity bill,903.82,utilities
2025-01-12,Grocery shopping,152.23,food
2025-01-12,Water bill,863.33,utilities
2025-01-13,Grocery shopping,199.7,food
2025-01-13,Local food store,205.22,food
2025-01-13,Electricity bill,895.96,utilities
2025-01-13,Metro ticket,116.79,transport
2025-01-13,Milk and bread,228.21,food
2025-01-13,Metro ticket,150.79,transport
2025-01-13,Vegetables market,203.9,food
2025-01-13,Metro ticket,107.97,transport
2025-01-13,Grocery shopping,237.71,food
2025-01-13,Petrol refill,147.17,transport
2025-01-14,Milk and bread,223.01,food
2025-01-14,Vegetables market,189.54,food
2025-01-14,Metro ticket,155.79,transport
2025-01-14,Metro ticket,116.97,transport
2025-01-14,Milk and bread,209.67,food
2025-01-14,Internet bill,894.95,utilities
2025-01-14,Auto fare,119.25,transport
2025-01-14,Bus pass,140.99,transport
2025-01-14,Internet bill,916.54,utilities
2025-01-15,Grocery shopping,182.49,food
2025-01-15,Auto fare,112.38,transport
2025-01-15,Electricity bill,884.0,utilities
2025-01-15,Vegetables market,171.3,food
2025-01-15,Internet bill,896.34,utilities
2025-01-15,Vegetables market,208.67,food
2025-01-15,Grocery shopping,232.95,food
2025-01-15,Mobile recharge,896.88,utilities
2025-01-16,Bus pass,158.45,transport
2025-01-16,Auto fare,130.2,transport
2025-01-16,Mobile recharge,888.05,utilities
2025-01-16,Mobile recharge,874.54,utilities
2025-01-17,Metro ticket,127.94,transport
2025-01-17,Petrol refill,146.15,transport
2025-01-17,Electricity bill,895.05,utilities
2025-01-17,Internet bill,925.25,utilities
2025-01-17,Metro ticket,139.83,transport
2025-01-17,Metro ticket,98.23,transport
2025-01-18,Local food store,234.2,food
2025-01-18,Petrol refill,136.23,transport
2025-01-19,Vegetables market,219.62,food
2025-01-19,Metro ticket,106.74,transport
2025-01-19,Metro ticket,119.89,transport
2025-01-19,Local food store,228.71,food
2025-01-19,Grocery shopping,194.44,food
2025-01-20,Vegetables market,238.33,food
2025-01-20,Mobile recharge,886.73,utilities
2025-01-20,Vegetables market,223.54,food
2025-01-20,Milk and bread,234.25,food
2025-01-20,Grocery shopping,241.09,food
2025-01-21,Vegetables market,222.15,food
